Player 1 Depth: 6 ,Player 2 Depth: 6
X,1,39
X,1,39
X,1,41
X,1,41
X,1,41
X,1,41
X,1,39
X,1,41
X,1,41


Player 1 Depth: 9 ,Player 2 Depth: 7
X,1,39
X,1,35
X,1,35
X,1,35
X,1,37
X,1,35
X,1,39
X,1,35
X,1,35
X,1,39
X,1,35
X,1,35
X,1,37
X,1,37
X,1,35
X,1,35
X,1,35
X,1,35
X,1,35
X,1,35


Player 1 Depth: 9 ,Player 2 Depth: 8
X,1,29
X,1,33
X,1,37
X,1,31
X,1,33
X,1,29
X,1,29
X,1,29
X,1,33
X,1,33
X,1,33
X,1,29
X,1,31
X,1,35
X,1,29
X,1,31
X,1,35
X,1,33
X,1,33
X,1,33


Player 1 Depth: 9 ,Player 2 Depth: 9
X,1,33
X,1,33
X,1,37
X,1,31
X,1,33
X,1,39
X,1,31
X,1,33
X,1,29
X,1,33
X,1,35
X,1,31
X,1,33
X,1,35
X,1,29
X,1,31
X,1,29
X,1,29
X,1,33
X,1,29


Player 1 Depth: 9 ,Player 2 Depth: 10
X,1,31
X,1,33
X,1,33
X,1,31
X,1,33
X,1,35
X,1,31
X,1,31
X,1,33
X,1,39
X,1,35
X,1,33
X,1,31
X,1,35
X,1,31
X,1,31
X,1,33
X,1,37
X,1,35
X,1,31


Player 1 Depth: 9 ,Player 2 Depth: 11
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42


Player 1 Depth: 9 ,Player 2 Depth: 12
O,1,30
O,1,32
O,1,32
O,1,32
O,1,32
O,1,28
O,1,28
O,1,28
O,1,30
O,1,32
O,1,30
O,1,32
O,1,32
O,1,28
O,1,28
O,1,28
O,1,32
O,1,30
O,1,34
O,1,32


Player 1 Depth: 10 ,Player 2 Depth: 6
X,1,23
X,1,23
X,1,27
X,1,23
X,1,25
X,1,27
X,1,23
X,1,23
X,1,23
X,1,27
X,1,23
X,1,23
X,1,27
X,1,27
X,1,27
X,1,27
X,1,27
X,1,27
X,1,27
X,1,27


Player 1 Depth: 10 ,Player 2 Depth: 7
X,1,37
X,1,35
X,1,35
X,1,35
X,1,35
X,1,35
X,1,37
X,1,35
X,1,37
X,1,37
X,1,35
X,1,35
X,1,35
X,1,35
X,1,39
X,1,37
X,1,35
X,1,35
X,1,35
X,1,37


Player 1 Depth: 10 ,Player 2 Depth: 8
X,1,33
X,1,33
X,1,39
X,1,33
X,1,33
X,1,35
X,1,35
X,1,33
X,1,33
X,1,33
X,1,39
X,1,33
X,1,33
X,1,37
X,1,33
X,1,37
X,1,35
X,1,33
X,1,35
X,1,39


Player 1 Depth: 10 ,Player 2 Depth: 9
X,1,33
X,1,31
X,1,31
X,1,31
X,1,33
X,1,29
X,1,29
X,1,29
X,1,35
X,1,35
X,1,29
X,1,31
X,1,29
X,1,33
X,1,29
X,1,29
X,1,31
X,1,33
X,1,31
X,1,37


Player 1 Depth: 10 ,Player 2 Depth: 10
O,1,30
O,1,30
O,1,32
O,1,34
O,1,32
O,1,30
O,1,30
O,1,34
O,1,30
